School,Fall Semester Year,Number of Applicants,Number of Accepted Applicants,Regular Acceptance Rate,Number of Matriculated Students,Rate of matriculation,,,
Yale,2003,17735,2014,11.35607556,1353,67.17974181,,,
Yale,2004,19682,1958,9.948175998,1308,66.53102747,,,
Yale,2005,19451,1880,9.665312837,1321,70.26595745,,,
Yale,2006,21101,1878,8.90005213,1315,67.99379524,,,
Yale,2007,19323,1911,9.889768669,1320,67.31259561,,,
Yale,2008,22817,1952,8.555024762,1320,65.63898558,,,
Yale,2009,26003,1958,7.529900396,1307,66.51399491,,,
Yale,2010,25869,2039,7.882020952,1344,62.89190454,,,
Yale,2011,27283,2109,7.730088333,1351,61.04835066,,,
Yale,2012,28977,2043,7.050419298,1356,64.17415996,,,
Yale,2013,29610,2031,6.8591692,1359,65.55716353,,,
Yale,2014,30932,1950,6.304151041,1360,69.74358974,,,
Yale,2015,30236,2034,6.727080302,1364,67.05998033,,,
Brown,2004,15286,2534,16.57726024,1458,55.58520778,,,
Brown,2005,16911,2557,15.12033588,1439,54.17921687,,,
Brown,2006,18316,2531,13.81851933,1469,57.24863601,,,
Brown,2007,19097,2669,13.97601718,1484,54.1210795,,,
Brown,2008,20633,2828,13.70619881,1550,53.52209945,,,
Brown,2009,24988,2790,11.16535937,1494,52.01949861,,,
Brown,2010,30135,2815,9.341297495,1501,52.72216368,,,
Brown,2011,30944,2757,8.909643226,1507,54.66086326,,,
Brown,2012,28742,2759,9.599192819,1539,55.7810801,,,
Brown,2013,28919,2654,9.177357447,1543,58.13865863,,,
Brown,2014,30431,2661,8.744372515,1561,57.43193525,,,
Brown,2015,30396,2875,9.458481379,1615,52.65731986,,,
Brown,2016,32390,3014,9.305341155,1681,54.29586563,,,
Berkeley,1999,31108,8444,27.14414299,3609,42.74040739,,,
Berkeley,2000,33240,8783,26.42298436,3748,42.67334624,,,
Berkeley,2001,36459,8912,24.44389588,3840,43.08797127,,,
Berkeley,2002,36466,8710,23.88526298,3653,41.94029851,,,
Berkeley,2003,36976,8832,23.88576374,3653,41.36096014,,,
Berkeley,2004,36580,9003,24.61180973,3672,40.78640453,,,
Berkeley,2005,36989,9809,26.51869475,4101,41.80854317,,,
Berkeley,2006,41750,9944,23.81796407,4157,41.80410298,,,
Berkeley,2007,44149,10287,23.30064101,4225,41.07125498,,,
Berkeley,2008,48461,10474,21.61325602,4261,40.68168799,,,
Berkeley,2009,48650,10528,21.64028777,4536,43.08510638,,,
Berkeley,2010,50393,10844,21.51886175,4109,37.8919218,,,
Berkeley,2011,52966,11441,21.60064947,4443,38.40103717,,,
Berkeley,2012,61731,11130,18.02983914,4162,37.03835543,,,
Berkeley,2013,67717,11965,17.66912297,4706,39.3313832,,,
Berkeley,2014,73779,11816,16.01539734,5466,44.60948339,,,
Berkeley,2015,78924,12048,15.26531853,5550,41.45503436,,,
